PageZone,Folio,ImageRoI,"Label"
urn:cite:hmt:pageroi.48.v1,urn:cite:hmt:msA.26r,"urn:cite:hmt:vaimg.VA026RN-0027.v1@0.0638,0.0563,0.8213,0.8676","Page area of folio 26r"
urn:cite:hmt:pageroi.9.v1,urn:cite:hmt:msA.16r,"urn:cite:hmt:vaimg.VA016RN-0017.v1@0.0775,0.0592,0.7988,0.8592","Page area of folio 16r"
urn:cite:hmt:pageroi.11.v1,urn:cite:hmt:msA.17r,"urn:cite:hmt:vaimg.VA017RN-0018.v1@0.0613,0.0554,0.8288,0.8545","Page area of folio 17r"
urn:cite:hmt:pageroi.29.v1,urn:cite:hmt:msA.92r,"urn:cite:hmt:vaimg.VA092RN-0093.v1@0.0525,0.0723,0.8413,0.8667","Page area of folio 92r"
urn:cite:hmt:pageroi.35.v1,urn:cite:hmt:msA.95r,"urn:cite:hmt:vaimg.VA095RN-0096.v1@0.0563,0.0714,0.8475,0.8592","Page area of folio 95r"
urn:cite:hmt:pageroi.13.v1,urn:cite:hmt:msA.18r,"urn:cite:hmt:vaimg.VA018RN-0019.v1@0.07,0.0535,0.8138,0.8761","Page area of folio 18r"
urn:cite:hmt:pageroi.14.v1,urn:cite:hmt:msA.18v,"urn:cite:hmt:vaimg.VA018VN-0520.v1@0.1225,0.0751,0.8225,0.8516","Page area of folio 18v"
urn:cite:hmt:pageroi.32.v1,urn:cite:hmt:msA.93v,"urn:cite:hmt:vaimg.VA093VN-0596.v1@0.0963,0.0685,0.8125,0.861","Page area of folio 93v"
urn:cite:hmt:pageroi.88.v1,urn:cite:hmt:msA.45v,"urn:cite:hmt:vaimg.VA045VN-0547.v1@0.1113,0.0826,0.8025,0.8563","Page area of folio 45v"
urn:cite:hmt:pageroi.112.v1,urn:cite:hmt:msA.57v,"urn:cite:hmt:vaimg.VA057VN-0559.v1@0.0838,0.0826,0.8388,0.8601","Page area of folio 57v"
urn:cite:hmt:pageroi.153.v1,urn:cite:hmt:msA.78r,"urn:cite:hmt:vaimg.VA078RN-0079.v1@0.085,0.0629,0.8263,0.8742","Page area of folio 78r"
urn:cite:hmt:pageroi.160.v1,urn:cite:hmt:msA.81v,"urn:cite:hmt:vaimg.VA081VN-0584.v1@0.0675,0.0723,0.8425,0.8704","Page area of folio 81v"
urn:cite:hmt:pageroi.165.v1,urn:cite:hmt:msA.84r,"urn:cite:hmt:vaimg.VA084RN-0085.v1@0.0388,0.0704,0.845,0.8685","Page area of folio 84r"
urn:cite:hmt:pageroi.15.v1,urn:cite:hmt:msA.19r,"urn:cite:hmt:vaimg.VA019RN-0020.v1@0.065,0.0638,0.8213,0.861","Page area of folio 19r"
urn:cite:hmt:pageroi.21.v1,urn:cite:hmt:msA.21v,"urn:cite:hmt:vaimg.VA021VN-0523.v1@0.115,0.0723,0.8138,0.8488","Page area of folio 21v"
urn:cite:hmt:pageroi.28.v1,urn:cite:hmt:msA.91v,"urn:cite:hmt:vaimg.VA091VN-0594.v1@0.0862,0.0779,0.8338,0.8516","Page area of folio 91v"
urn:cite:hmt:pageroi.34.v1,urn:cite:hmt:msA.94v,"urn:cite:hmt:vaimg.VA094VN-0597.v1@0.075,0.0742,0.8438,0.8563","Page area of folio 94v"
urn:cite:hmt:pageroi.47.v1,urn:cite:hmt:msA.100v,"urn:cite:hmt:vaimg.VA100VN-0603.v1@0.075,0.0798,0.85,0.8685","Page area of folio 100v"
urn:cite:hmt:pageroi.51.v1,urn:cite:hmt:msA.25v,"urn:cite:hmt:vaimg.VA025VN-0527.v1@0.09,0.0685,0.83,0.877","Page area of folio 25v"
urn:cite:hmt:pageroi.73.v1,urn:cite:hmt:msA.38r,"urn:cite:hmt:vaimg.VA038RN-0039.v1@0.0325,0.0573,0.8313,0.8667","Page area of folio 38r"
urn:cite:hmt:pageroi.77.v1,urn:cite:hmt:msA.40r,"urn:cite:hmt:vaimg.VA040RN-0041.v1@0.0313,0.0582,0.8313,0.8714","Page area of folio 40r"
urn:cite:hmt:pageroi.81.v1,urn:cite:hmt:msA.42r,"urn:cite:hmt:vaimg.VA042RN-0043.v1@0.03,0.0573,0.8313,0.862","Page area of folio 42r"
urn:cite:hmt:pageroi.16.v1,urn:cite:hmt:msA.19v,"urn:cite:hmt:vaimg.VA019VN-0521.v1@0.14,0.0695,0.8063,0.8554","Page area of folio 19v"
urn:cite:hmt:pageroi.26.v1,urn:cite:hmt:msA.24r,"urn:cite:hmt:vaimg.VA024RN-0025.v1@0.0675,0.0601,0.8163,0.8573","Page area of folio 24r"
urn:cite:hmt:pageroi.38.v1,urn:cite:hmt:msA.96r,"urn:cite:hmt:vaimg.VA096RN-0097.v1@0.0563,0.0685,0.8463,0.8714","Page area of folio 96r"
urn:cite:hmt:pageroi.37.v1,urn:cite:hmt:msA.26v,"urn:cite:hmt:vaimg.VA026VN-0528.v1@0.0925,0.0789,0.825,0.8563","Page area of folio 26v"
urn:cite:hmt:pageroi.74.v1,urn:cite:hmt:msA.38v,"urn:cite:hmt:vaimg.VA038VN-0540.v1@0.1038,0.0732,0.815,0.8573","Page area of folio 38v"
urn:cite:hmt:pageroi.78.v1,urn:cite:hmt:msA.40v,"urn:cite:hmt:vaimg.VA040VN-0542.v1@0.1025,0.0751,0.8063,0.8507","Page area of folio 40v"
urn:cite:hmt:pageroi.82.v1,urn:cite:hmt:msA.42v,"urn:cite:hmt:vaimg.VA042VN-0544.v1@0.0913,0.0779,0.8138,0.8451","Page area of folio 42v"
urn:cite:hmt:pageroi.90.v1,urn:cite:hmt:msA.46v,"urn:cite:hmt:vaimg.VA046VN-0548.v1@0.1113,0.077,0.8038,0.8498","Page area of folio 46v"
urn:cite:hmt:pageroi.114.v1,urn:cite:hmt:msA.58v,"urn:cite:hmt:vaimg.VA058VN-0560.v1@0.095,0.0789,0.8288,0.8554","Page area of folio 58v"
urn:cite:hmt:pageroi.123.v1,urn:cite:hmt:msA.63r,"urn:cite:hmt:vaimg.VA063RN-0064.v1@0.0738,0.062,0.83,0.8714","Page area of folio 63r"
urn:cite:hmt:pageroi.135.v1,urn:cite:hmt:msA.69r,"urn:cite:hmt:vaimg.VA069RN-0070.v1@0.065,0.062,0.8275,0.8657","Page area of folio 69r"
urn:cite:hmt:pageroi.149.v1,urn:cite:hmt:msA.76r,"urn:cite:hmt:vaimg.VA076RN-0077.v1@0.0913,0.0648,0.8088,0.8704","Page area of folio 76r"
urn:cite:hmt:pageroi.170.v1,urn:cite:hmt:msA.86v,"urn:cite:hmt:vaimg.VA086VN-0589.v1@0.075,0.0704,0.8338,0.8648","Page area of folio 86v"
urn:cite:hmt:pageroi.174.v1,urn:cite:hmt:msA.88v,"urn:cite:hmt:vaimg.VA088VN-0591.v1@0.0725,0.0714,0.8363,0.8676","Page area of folio 88v"
urn:cite:hmt:pageroi.17.v1,urn:cite:hmt:msA.20r,"urn:cite:hmt:vaimg.VA020RN-0021.v1@0.0775,0.0582,0.8,0.8685","Page area of folio 20r"
urn:cite:hmt:pageroi.22.v1,urn:cite:hmt:msA.22r,"urn:cite:hmt:vaimg.VA022RN-0023.v1@0.07,0.0573,0.81,0.8667","Page area of folio 22r"
urn:cite:hmt:pageroi.25.v1,urn:cite:hmt:msA.23v,"urn:cite:hmt:vaimg.VA023VN-0525.v1@0.1163,0.0732,0.82,0.8498","Page area of folio 23v"
urn:cite:hmt:pageroi.40.v1,urn:cite:hmt:msA.97r,"urn:cite:hmt:vaimg.VA097RN-0098.v1@0.05,0.0695,0.8475,0.8676","Page area of folio 97r"
urn:cite:hmt:pageroi.42.v1,urn:cite:hmt:msA.98r,"urn:cite:hmt:vaimg.VA098RN-0099.v1@0.0463,0.0714,0.8513,0.8695","Page area of folio 98r"
urn:cite:hmt:pageroi.44.v1,urn:cite:hmt:msA.99r,"urn:cite:hmt:vaimg.VA099RN-0100.v1@0.0475,0.0714,0.84,0.8676","Page area of folio 99r"
urn:cite:hmt:pageroi.53.v1,urn:cite:hmt:msA.28r,"urn:cite:hmt:vaimg.VA028RN-0029.v1@0.0663,0.062,0.815,0.8582","Page area of folio 28r"
urn:cite:hmt:pageroi.57.v1,urn:cite:hmt:msA.30r,"urn:cite:hmt:vaimg.VA030RN-0031.v1@0.0675,0.0573,0.8175,0.8704","Page area of folio 30r"
urn:cite:hmt:pageroi.61.v1,urn:cite:hmt:msA.32r,"urn:cite:hmt:vaimg.VA032RN-0033.v1@0.07,0.0545,0.8263,0.8676","Page area of folio 32r"
urn:cite:hmt:pageroi.85.v1,urn:cite:hmt:msA.44r,"urn:cite:hmt:vaimg.VA044RN-0045.v1@0.0463,0.0592,0.8175,0.8685","Page area of folio 44r"
urn:cite:hmt:pageroi.20.v1,urn:cite:hmt:msA.21r,"urn:cite:hmt:vaimg.VA021RN-0022.v1@0.07,0.061,0.8125,0.8695","Page area of folio 21r"
urn:cite:hmt:pageroi.27.v1,urn:cite:hmt:msA.91r,"urn:cite:hmt:vaimg.VA091RN-0263.v1@0.0563,0.0526,0.8388,0.8638","Page area of folio 91r"
urn:cite:hmt:pageroi.33.v1,urn:cite:hmt:msA.94r,"urn:cite:hmt:vaimg.VA094RN-0095.v1@0.055,0.0751,0.8363,0.862","Page area of folio 94r"
urn:cite:hmt:pageroi.45.v1,urn:cite:hmt:msA.99v,"urn:cite:hmt:vaimg.VA099VN-0602.v1@0.0775,0.077,0.8475,0.8592","Page area of folio 99v"
urn:cite:hmt:pageroi.46.v1,urn:cite:hmt:msA.100r,"urn:cite:hmt:vaimg.VA100RN-0101.v1@0.055,0.0742,0.8413,0.8704","Page area of folio 100r"
urn:cite:hmt:pageroi.98.v1,urn:cite:hmt:msA.50v,"urn:cite:hmt:vaimg.VA050VN-0552.v1@0.0888,0.0789,0.8338,0.8573","Page area of folio 50v"
urn:cite:hmt:pageroi.101.v1,urn:cite:hmt:msA.52r,"urn:cite:hmt:vaimg.VA052RN-0053.v1@0.0688,0.0704,0.8075,0.8592","Page area of folio 52r"
urn:cite:hmt:pageroi.102.v1,urn:cite:hmt:msA.52v,"urn:cite:hmt:vaimg.VA052VN-0554.v1@0.0963,0.0808,0.8263,0.8535","Page area of folio 52v"
urn:cite:hmt:pageroi.111.v1,urn:cite:hmt:msA.57r,"urn:cite:hmt:vaimg.VA057RN-0058.v1@0.08,0.0648,0.83,0.8667","Page area of folio 57r"
urn:cite:hmt:pageroi.127.v1,urn:cite:hmt:msA.65r,"urn:cite:hmt:vaimg.VA065RN-0066.v1@0.0663,0.0592,0.8438,0.8751","Page area of folio 65r"
urn:cite:hmt:pageroi.132.v1,urn:cite:hmt:msA.67v,"urn:cite:hmt:vaimg.VA067VN-0569.v1@0.1088,0.0742,0.8175,0.8526","Page area of folio 67v"
urn:cite:hmt:pageroi.145.v1,urn:cite:hmt:msA.74r,"urn:cite:hmt:vaimg.VA074RN-0075.v1@0.0675,0.062,0.8288,0.8667","Page area of folio 74r"
urn:cite:hmt:pageroi.152.v1,urn:cite:hmt:msA.77v,"urn:cite:hmt:vaimg.VA077VN-0580.v1@0.07,0.0704,0.8425,0.8601","Page area of folio 77v"
urn:cite:hmt:pageroi.18.v1,urn:cite:hmt:msA.27r,"urn:cite:hmt:vaimg.VA027RN-0028.v1@0.0563,0.0563,0.8188,0.8667","Page area of folio 27r"
urn:cite:hmt:pageroi.52.v1,urn:cite:hmt:msA.27v,"urn:cite:hmt:vaimg.VA027VN-0529.v1@0.11,0.0779,0.8113,0.8573","Page area of folio 27v"
urn:cite:hmt:pageroi.56.v1,urn:cite:hmt:msA.29v,"urn:cite:hmt:vaimg.VA029VN-0531.v1@0.095,0.0779,0.8238,0.8554","Page area of folio 29v"
urn:cite:hmt:pageroi.60.v1,urn:cite:hmt:msA.31v,"urn:cite:hmt:vaimg.VA031VN-0533.v1@0.0988,0.0751,0.815,0.8582","Page area of folio 31v"
urn:cite:hmt:pageroi.68.v1,urn:cite:hmt:msA.35v,"urn:cite:hmt:vaimg.VA035VN-0537.v1@0.1125,0.077,0.81,0.8516","Page area of folio 35v"
urn:cite:hmt:pageroi.86.v1,urn:cite:hmt:msA.44v,"urn:cite:hmt:vaimg.VA044VN-0546.v1@0.1063,0.0798,0.8188,0.8488","Page area of folio 44v"
urn:cite:hmt:pageroi.108.v1,urn:cite:hmt:msA.55v,"urn:cite:hmt:vaimg.VA055VN-0557.v1@0.09,0.0845,0.8363,0.8638","Page area of folio 55v"
urn:cite:hmt:pageroi.130.v1,urn:cite:hmt:msA.66v,"urn:cite:hmt:vaimg.VA066VN-0568.v1@0.0988,0.0761,0.8375,0.8563","Page area of folio 66v"
urn:cite:hmt:pageroi.144.v1,urn:cite:hmt:msA.73v,"urn:cite:hmt:vaimg.VA073VN-0575.v1@0.1113,0.0798,0.825,0.8507","Page area of folio 73v"
urn:cite:hmt:pageroi.166.v1,urn:cite:hmt:msA.84v,"urn:cite:hmt:vaimg.VA084VN-0587.v1@0.0775,0.0751,0.8325,0.8582","Page area of folio 84v"
urn:cite:hmt:pageroi.54.v1,urn:cite:hmt:msA.28v,"urn:cite:hmt:vaimg.VA028VN-0530.v1@0.1038,0.0808,0.8175,0.8526","Page area of folio 28v"
urn:cite:hmt:pageroi.58.v1,urn:cite:hmt:msA.30v,"urn:cite:hmt:vaimg.VA030VN-0532.v1@0.095,0.077,0.82,0.8573","Page area of folio 30v"
urn:cite:hmt:pageroi.62.v1,urn:cite:hmt:msA.32v,"urn:cite:hmt:vaimg.VA032VN-0534.v1@0.0963,0.077,0.8213,0.8516","Page area of folio 32v"
urn:cite:hmt:pageroi.71.v1,urn:cite:hmt:msA.37r,"urn:cite:hmt:vaimg.VA037RN-0038.v1@0.0363,0.0554,0.825,0.8714","Page area of folio 37r"
urn:cite:hmt:pageroi.75.v1,urn:cite:hmt:msA.39r,"urn:cite:hmt:vaimg.VA039RN-0040.v1@0.0375,0.0601,0.8263,0.8695","Page area of folio 39r"
urn:cite:hmt:pageroi.79.v1,urn:cite:hmt:msA.41r,"urn:cite:hmt:vaimg.VA041RN-0042.v1@0.0275,0.0582,0.8325,0.8808","Page area of folio 41r"
urn:cite:hmt:pageroi.83.v1,urn:cite:hmt:msA.43r,"urn:cite:hmt:vaimg.VA043RN-0044.v1@0.0313,0.0563,0.8213,0.877","Page area of folio 43r"
urn:cite:hmt:pageroi.87.v1,urn:cite:hmt:msA.45r,"urn:cite:hmt:vaimg.VA045RN-0046.v1@0.0463,0.062,0.82,0.8685","Page area of folio 45r"
urn:cite:hmt:pageroi.55.v1,urn:cite:hmt:msA.29r,"urn:cite:hmt:vaimg.VA029RN-0030.v1@0.06,0.0629,0.8288,0.8535","Page area of folio 29r"
urn:cite:hmt:pageroi.59.v1,urn:cite:hmt:msA.31r,"urn:cite:hmt:vaimg.VA031RN-0032.v1@0.0738,0.0582,0.8275,0.861","Page area of folio 31r"
urn:cite:hmt:pageroi.64.v1,urn:cite:hmt:msA.33v,"urn:cite:hmt:vaimg.VA033VN-0535.v1@0.0938,0.077,0.8263,0.8638","Page area of folio 33v"
urn:cite:hmt:pageroi.94.v1,urn:cite:hmt:msA.48v,"urn:cite:hmt:vaimg.VA048VN-0550.v1@0.095,0.0779,0.8125,0.8554","Page area of folio 48v"
urn:cite:hmt:pageroi.95.v1,urn:cite:hmt:msA.49r,"urn:cite:hmt:vaimg.VA049RN-0050.v1@0.0538,0.0732,0.8325,0.861","Page area of folio 49r"
urn:cite:hmt:pageroi.97.v1,urn:cite:hmt:msA.50r,"urn:cite:hmt:vaimg.VA050RN-0051.v1@0.06,0.0685,0.8325,0.8638","Page area of folio 50r"
urn:cite:hmt:pageroi.63.v1,urn:cite:hmt:msA.33r,"urn:cite:hmt:vaimg.VA033RN-0034.v1@0.07,0.061,0.8175,0.8629","Page area of folio 33r"
urn:cite:hmt:pageroi.66.v1,urn:cite:hmt:msA.34v,"urn:cite:hmt:vaimg.VA034VN-0536.v1@0.0938,0.0525,0.8425,0.894","Page area of folio 34v"
urn:cite:hmt:pageroi.70.v1,urn:cite:hmt:msA.36v,"urn:cite:hmt:vaimg.VA036VN-0538.v1@0.1038,0.0751,0.805,0.8535","Page area of folio 36v"
urn:cite:hmt:pageroi.91.v1,urn:cite:hmt:msA.47r,"urn:cite:hmt:vaimg.VA047RN-0048.v1@0.0163,0.0648,0.8325,0.8648","Page area of folio 47r"
urn:cite:hmt:pageroi.99.v1,urn:cite:hmt:msA.51r,"urn:cite:hmt:vaimg.VA051RN-0052.v1@0.0563,0.0723,0.8238,0.8629","Page area of folio 51r"
urn:cite:hmt:pageroi.105.v1,urn:cite:hmt:msA.54r,"urn:cite:hmt:vaimg.VA054RN-0055.v1@0.065,0.0704,0.82,0.8667","Page area of folio 54r"
urn:cite:hmt:pageroi.116.v1,urn:cite:hmt:msA.59v,"urn:cite:hmt:vaimg.VA059VN-0561.v1@0.0913,0.0808,0.8388,0.8563","Page area of folio 59v"
urn:cite:hmt:pageroi.121.v1,urn:cite:hmt:msA.62r,"urn:cite:hmt:vaimg.VA062RN-0063.v1@0.07,0.061,0.8388,0.8751","Page area of folio 62r"
urn:cite:hmt:pageroi.125.v1,urn:cite:hmt:msA.64r,"urn:cite:hmt:vaimg.VA064RN-0065.v1@0.0763,0.0592,0.8313,0.8723","Page area of folio 64r"
urn:cite:hmt:pageroi.138.v1,urn:cite:hmt:msA.70v,"urn:cite:hmt:vaimg.VA070VN-0572.v1@0.1113,0.0789,0.825,0.8498","Page area of folio 70v"
urn:cite:hmt:pageroi.143.v1,urn:cite:hmt:msA.73r,"urn:cite:hmt:vaimg.VA073RN-0074.v1@0.0725,0.0657,0.8225,0.8657","Page area of folio 73r"
urn:cite:hmt:pageroi.156.v1,urn:cite:hmt:msA.79v,"urn:cite:hmt:vaimg.VA079VN-0582.v1@0.085,0.0667,0.82,0.8667","Page area of folio 79v"
urn:cite:hmt:pageroi.169.v1,urn:cite:hmt:msA.86r,"urn:cite:hmt:vaimg.VA086RN-0087.v1@0.0463,0.0685,0.85,0.8676","Page area of folio 86r"
urn:cite:hmt:pageroi.173.v1,urn:cite:hmt:msA.88r,"urn:cite:hmt:vaimg.VA088RN-0089.v1@0.045,0.0685,0.8475,0.8732","Page area of folio 88r"
urn:cite:hmt:pageroi.65.v1,urn:cite:hmt:msA.34r,"urn:cite:hmt:vaimg.VA034RN-0035.v1@0.0725,0.0601,0.8163,0.861","Page area of folio 34r"
urn:cite:hmt:pageroi.72.v1,urn:cite:hmt:msA.37v,"urn:cite:hmt:vaimg.VA037VN-0539.v1@0.105,0.077,0.8175,0.8526","Page area of folio 37v"
urn:cite:hmt:pageroi.76.v1,urn:cite:hmt:msA.39v,"urn:cite:hmt:vaimg.VA039VN-0541.v1@0.0738,0.0544,0.8613,0.8856","Page area of folio 39v"
urn:cite:hmt:pageroi.80.v1,urn:cite:hmt:msA.41v,"urn:cite:hmt:vaimg.VA041VN-0543.v1@0.0888,0.0817,0.8313,0.8563","Page area of folio 41v"
urn:cite:hmt:pageroi.92.v1,urn:cite:hmt:msA.47v,"urn:cite:hmt:vaimg.VA047VN-0549.v1@0.0875,0.0525,0.8638,0.8912","Page area of folio 47v"
urn:cite:hmt:pageroi.109.v1,urn:cite:hmt:msA.56r,"urn:cite:hmt:vaimg.VA056RN-0057.v1@0.085,0.061,0.8238,0.8685","Page area of folio 56r"
urn:cite:hmt:pageroi.124.v1,urn:cite:hmt:msA.63v,"urn:cite:hmt:vaimg.VA063VN-0565.v1@0.09,0.077,0.8375,0.8592","Page area of folio 63v"
urn:cite:hmt:pageroi.131.v1,urn:cite:hmt:msA.67r,"urn:cite:hmt:vaimg.VA067RN-0068.v1@0.0663,0.0667,0.8313,0.862","Page area of folio 67r"
urn:cite:hmt:pageroi.141.v1,urn:cite:hmt:msA.72r,"urn:cite:hmt:vaimg.VA072RN-0073.v1@0.0738,0.0638,0.8175,0.8676","Page area of folio 72r"
urn:cite:hmt:pageroi.67.v1,urn:cite:hmt:msA.35r,"urn:cite:hmt:vaimg.VA035RN-0036.v1@0.065,0.061,0.8225,0.8676","Page area of folio 35r"
urn:cite:hmt:pageroi.84.v1,urn:cite:hmt:msA.43v,"urn:cite:hmt:vaimg.VA043VN-0545.v1@0.11,0.0808,0.8163,0.8573","Page area of folio 43v"
urn:cite:hmt:pageroi.93.v1,urn:cite:hmt:msA.48r,"urn:cite:hmt:vaimg.VA048RN-0049.v1@0.0175,0.0657,0.8275,0.8695","Page area of folio 48r"
urn:cite:hmt:pageroi.100.v1,urn:cite:hmt:msA.51v,"urn:cite:hmt:vaimg.VA051VN-0553.v1@0.0925,0.0779,0.8263,0.8648","Page area of folio 51v"
urn:cite:hmt:pageroi.103.v1,urn:cite:hmt:msA.53r,"urn:cite:hmt:vaimg.VA053RN-0054.v1@0.0588,0.0704,0.8288,0.8563","Page area of folio 53r"
urn:cite:hmt:pageroi.113.v1,urn:cite:hmt:msA.58r,"urn:cite:hmt:vaimg.VA058RN-0059.v1@0.08,0.0601,0.8288,0.8676","Page area of folio 58r"
urn:cite:hmt:pageroi.118.v1,urn:cite:hmt:msA.60v,"urn:cite:hmt:vaimg.VA060VN-0562.v1@0.0963,0.0836,0.8363,0.8526","Page area of folio 60v"
urn:cite:hmt:pageroi.119.v1,urn:cite:hmt:msA.61r,"urn:cite:hmt:vaimg.VA061RN-0062.v1@0.0625,0.0657,0.8388,0.8808","Page area of folio 61r"
urn:cite:hmt:pageroi.128.v1,urn:cite:hmt:msA.65v,"urn:cite:hmt:vaimg.VA065VN-0567.v1@0.1063,0.0714,0.8288,0.8695","Page area of folio 65v"
urn:cite:hmt:pageroi.133.v1,urn:cite:hmt:msA.68r,"urn:cite:hmt:vaimg.VA068RN-0069.v1@0.0625,0.0638,0.8363,0.8723","Page area of folio 68r"
urn:cite:hmt:pageroi.137.v1,urn:cite:hmt:msA.70r,"urn:cite:hmt:vaimg.VA070RN-0071.v1@0.0738,0.0676,0.825,0.861","Page area of folio 70r"
urn:cite:hmt:pageroi.147.v1,urn:cite:hmt:msA.75r,"urn:cite:hmt:vaimg.VA075RN-0076.v1@0.0725,0.0657,0.8338,0.8648","Page area of folio 75r"
urn:cite:hmt:pageroi.168.v1,urn:cite:hmt:msA.85v,"urn:cite:hmt:vaimg.VA085VN-0588.v1@0.0775,0.0695,0.8325,0.8648","Page area of folio 85v"
urn:cite:hmt:pageroi.172.v1,urn:cite:hmt:msA.87v,"urn:cite:hmt:vaimg.VA087VN-0590.v1@0.08,0.0723,0.825,0.8573","Page area of folio 87v"
urn:cite:hmt:pageroi.176.v1,urn:cite:hmt:msA.89v,"urn:cite:hmt:vaimg.VA089VN-0592.v1@0.0788,0.0695,0.8275,0.8704","Page area of folio 89v"
urn:cite:hmt:pageroi.69.v1,urn:cite:hmt:msA.36r,"urn:cite:hmt:vaimg.VA036RN-0037.v1@0.0888,0.0601,0.8013,0.8723","Page area of folio 36r"
urn:cite:hmt:pageroi.89.v1,urn:cite:hmt:msA.46r,"urn:cite:hmt:vaimg.VA046RN-0047.v1@0.0388,0.0582,0.8238,0.8685","Page area of folio 46r"
urn:cite:hmt:pageroi.96.v1,urn:cite:hmt:msA.49v,"urn:cite:hmt:vaimg.VA049VN-0551.v1@0.0788,0.0808,0.8338,0.8535","Page area of folio 49v"
urn:cite:hmt:pageroi.104.v1,urn:cite:hmt:msA.53v,"urn:cite:hmt:vaimg.VA053VN-0555.v1@0.0875,0.0817,0.8375,0.8488","Page area of folio 53v"
urn:cite:hmt:pageroi.115.v1,urn:cite:hmt:msA.59r,"urn:cite:hmt:vaimg.VA059RN-0060.v1@0.08,0.0657,0.8288,0.8629","Page area of folio 59r"
urn:cite:hmt:pageroi.120.v1,urn:cite:hmt:msA.61v,"urn:cite:hmt:vaimg.VA061VN-0563.v1@0.0988,0.0789,0.8363,0.8629","Page area of folio 61v"
